"page","term","title","authors","year","n_citations","abstract"
1,"miR-298","[HTML][HTML] miR-296-3p, miR-298-5p and their downstream networks are causally involved in the higher resistance of mammalian pancreatic α cells to cytokine-induced …","D Barbagallo, S Piro, AG Condorelli, LG Mascali","2013",64,"… results suggest that the role of miR-298-5p is more important in this process than that of 
miR-296-3p (Figure 3): this would highlight the role of one or a few specific miR-298-5p targets. …"
1,"miR-298","[HTML][HTML] MiR-298 exacerbates ischemia/reperfusion injury following ischemic stroke by targeting Act1","H Sun, D Zhong, C Wang, Y Sun, J Zhao","2018",30,"… To confirm the role of miR-298 in cerebral ischemic injury, we injected miR-298 mimic into 
the right cerebral ventricle of mice, and miR-298 level in tissue samples collected from the …"
1,"miR-298","LncRNA Neat1/miR-298-5p/Srpk1 contributes to sevoflurane-induced neurotoxicity","X Wei, S Xu, L Chen","2021",16,"… The interaction between miR-298-5p and Neat1 or Srpk1 … with miR-298-5p, and Srpk1 was 
a direct target gene of miR-298-5p. … -stimulated neurotoxicity by sponging miR-298-5p to up-…"
1,"miR-298","Regulation of UGT1A expression by miR-298 in human livers from the Han Chinese population and in human cell lines","P Wang, Y Nie, S Wang, L Yang, W Yang, J Li, X Li","2018",10,"… In the present study, we show that miR-298 is involved in the regulation of UGT1A … We 
additionally investigated the correlations between miR-298 or miR-491–3p and UGT1A …"
1,"miR-298","[HTML][HTML] MiR-298 counteracts mutant androgen receptor toxicity in spinal and bulbar muscular atrophy","N Pourshafie, PR Lee, K Chen, GG Harmison, LC Bott","2016",30,"… microRNA-298 (miR-298) for its … that miR-298 directly binds to the 3'-untranslated region 
of the human AR transcript, and counteracts AR toxicity in vitro. Intravenous delivery of miR-298 …"
2,"miR-298","[HTML][HTML] circFAT1 (e2) inhibits cell apoptosis and facilitates progression in vascular smooth muscle cells through miR-298/MYB axis","Z Shi, S Ye, Y Xiang, D Wu, J Xu, J Yu","2021",1,"… miR-298 was chosen and used in the following studies. Additionally, we deeply uncovered 
the downstream targets of miR-298 … MYB was selected as one candidate for miR-298. …"
2,"miR-298","Micrornas Mir-147-3p And Mir-298-5p Are Nod-Driven Regulators Of Endothelial Cytokine Expression","AK Vlacil, E Vollmeister, W Bertrams","2019",NA,"… MiR-298-5p was found to be down-regulated by NOD1 stimulation and miR-147-3p was … 
for miR-298-5p and miR-147-3p. Luciferase assays revealed direct binding of miR-298-5p to IL-…"
2,"miR-298","CircRNA Larp4b/miR-298-5p/Mef2c Regulates Cardiac Hypertrophy Induced by Angiotensin II","Q Xie, X Xu, D Xiong, M Yao","2024",NA,"… Factor 2 (Mef2c) is a downstream target of miR-298–5p. Moreover, Mef2c may interact with 
miR… This study designed to make clear the effect of the circ_Larp4b/miR-298-5p/Mef2c axis in …"
2,"miR-298","Exosomal miR‐122, miR‐128, miR‐200, miR‐298, and miR‐342 as novel diagnostic biomarkers in NAFL/NASH: Impact of LPS/TLR‐4/FoxO3 pathway","AM Samy, MA Kandeil, D Sabry","2024",NA,"… [28,29] Also, among the candidates are miR‐342 and miR298, which … [30] miR298 impeded 
cell proliferation, migration, and … [31] miR‐298 expression was increased in prostate cancer …"
3,"miR-298","[HTML][HTML] … Sequencing Reveal That Rno-Rsf1_0012 Participates in Levodopa-Induced Dyskinesia in Parkinson's Disease Rats via Binding to Rno-mir-298-5p","CL Han, Q Wang, C Liu, ZB Li, TT Du, YP Sui, X Zhang","2022",2,"… The expression of rno-Rsf1_0012 was significantly increased in the striatum of LID rats and 
competitively bound rno-mir-298-5p. The high expression of target genes PCP and TBP in …"
