"page","term","title","authors","year","n_citations","abstract"
1,"miR-665","[HTML][HTML] Targeting the miR-665-3p-ATG4B-autophagy axis relieves inflammation and apoptosis in intestinal ischemia/reperfusion","Z Li, G Wang, D Feng, G Zu, Y Li, X Shi, Y Zhao","2018",80,"… locked nucleic acid-modified inhibition of miR-665-3p in vivo alleviates I/R-… miR-665-3p as 
a novel small molecule that regulates autophagy by targeting ATG4B, suggesting that miR-665…"
1,"miR-665","[HTML][HTML] Upregulation of miR-665 promotes apoptosis and colitis in inflammatory bowel disease by repressing the endoplasmic reticulum stress components XBP1 …","M Li, S Zhang, Y Qiu, Y He, B Chen, R Mao, Y Cui","2017",96,"… Notably, a recent study comparing the miRNA expression alteration identified that miR-665 … 
target genes of miR-665. Furthermore, we demonstrated that miR-665 downregulated XBP1 …"
1,"miR-665","[HTML][HTML] LEF1 mediates osteoarthritis progression through circRNF121/miR-665/MYD88 axis via NF-кB signaling pathway","T Wang, Z Hao, C Liu, L Yuan, L Li, M Yin, Q Li","2020",39,"… MiR-665 was identified as a direct regulatory target of circRNF121 and … by miR-665. MYD88 
regulated the activity of the NF-кB signaling pathway by circRNF121 via sponging miR-665. …"
2,"miR-665","[HTML][HTML] Dexmedetomidine abates myocardial ischemia reperfusion injury through inhibition of pyroptosis via regulation of miR-665/MEF2D/Nrf2 axis","L Wang, J Liu, Z Wang, X Qian, Y Zhao, Q Wang","2023",6,"… of Dex, we upregulated miR-665 by transfection of miR-665 mimics into H9c2 cells followed 
… the effects conferred by miR-665 mimics through co-transfecting miR-665 mimics with pcDNA…"
2,"miR-665","[HTML][HTML] MiR-665 aggravates heart failure via suppressing CD34-mediated coronary microvessel angiogenesis","J Fan, H Li, X Nie, Z Yin, Y Zhao, X Zhang","2018",39,"… HUVEC cells showed that miR-665 increased, while miR-665 inhibitor decreased apoptosis 
… regulation of miR-665 by miRNA inhibitor enhanced cell proliferation, while miR-665 mimics …"
2,"miR-665","LncRNA MIAT regulates autophagy and apoptosis of macrophage infected by mycobacterium tuberculosis through the miR-665/ULK1 signaling axis","F Jiang, J Lou, X Zheng, X Yang","2021",21,"… We observed that the expression of MIAT was heightened while miR-665 level … miR-665 
and negatively regulated its expression. ULK1 was identified as an authentic target of miR-665 …"
2,"miR-665","[HTML][HTML] MiR-665 regulates vascular smooth muscle cell senescence by interacting With LncRNA GAS5/SDC1","T Chen, Q Liang, J Xu, Y Zhang, Y Zhang","2021",15,"… In this study, a microarray analysis found a significant differential expression of miR-665 
in young and aging VSMCs, and miR-665 could function as a vital modulator of VSMC …"
2,"miR-665","Propofol-induced rno-miR-665 targets BCL2L1 and influences apoptosis in rodent developing hippocampal astrocytes","WC Sun, ZD Liang, L Pei","2015",47,"… -miR-665 in hippocampal astrocytes by detecting its expression after transfection with 75 pmol 
rno-miR-665 … rno-miR-665 levels, which were highest in the rno-miR-665 mimic + propofol …"
2,"miR-665","[HTML][HTML] Long non-coding RNA HIF1A-AS2 facilitates adipose-derived stem cells (ASCs) osteogenic differentiation through miR-665/IL6 axis via PI3K/Akt signaling …","R Wu, J Ruan, Y Sun, M Liu, Z Sha, C Fan","2018",57,"… MiR-665 was reported functioning as a repressor of … of miR-665 in an ASC osteogenic 
differentiation process. In this research, we focus on the regulating mechanism of miR-665, …"
3,"miR-665","Nuclear miR-665 aggravates heart failure via suppressing phosphatase and tensin homolog transcription","J Fan, X Zhang, X Nie, H Li, S Yuan, B Dai","2020",19,"… Results showed that compared with other organs, miR-665 was enriched in the heart, and 
only cardiac miR665 was significantly increased in TAC-induced heart failure mice (Figure 2C)…"
3,"miR-665","[HTML][HTML] Neuroprotective effect of miR-665 against sevoflurane anesthesia-induced cognitive dysfunction in rats through PI3K/Akt signaling pathway by targeting …","X Lu, S Lv, Y Mi, L Wang, G Wang","2017",46,"… However, the treatment by miR-665 mimics significantly reversed all the … of miR-665 
against sevoflurane anesthesia-induced cognitive impairment. This study suggests that miR-665 …"
5,"miR-665","[HTML][HTML] MiR-665 regulates VSMCs proliferation via targeting FGF9 and MEF2D and modulating activities of Wnt/β-catenin signaling","K Li, J Pan, J Wang, F Liu, L Wang","2017",24,"… of miR-665. Luciferase report assay confirmed that FGF9 and MEF2D 3’UTRs are direct targets 
of miR-665, and miR-665 … the inhibitory effects of miR-665 on VSMCs proliferation. More …"
5,"miR-665","Expression and functional analysis of miR-665 in bovine mammary epithelial cell inflammation","Y LI, X WANG, J YANG, Z LUORENG","2022",2,"… 摘 要: 为探究 miR-665 在奶牛乳腺上皮细胞炎症中的表达及功能,利用脂多糖(LPS)诱导奶牛… 
技术检测了 miR-665 及其潜在靶 mRNA 的表达水平,并采用生物信息学方法进行了 miR665 保守性…"
5,"miR-665","Circ_0001206 regulates miR‐665/CRKL axis to alleviate hypoxia/reoxygenation‐induced cardiomyocyte injury in myocardial infarction","D Wang, L Tian, Y Wang, X Gao, H Tang","2022",7,"… of miR-665, and miR-665 might play a destructive role in MI development. Interestingly, miR-665 plays a … , 33 which further supports the deteriorative role of miR-665 in MI development. …"
6,"miR-665","[HTML][HTML] Neuroprotective effect of miR-665 against sevoflurane anesthesia-induced cognitive dysfunction in rats through PI3K/Akt signaling pathway by targeting …","X Lu, S Lv, Y Mi, L Wang, G Wang","2017",46,"… However, the treatment by miR-665 mimics significantly reversed all the … of miR-665 
against sevoflurane anesthesia-induced cognitive impairment. This study suggests that miR-665 …"
6,"miR-665","[PDF][PDF] Circulating miR-665 and miR-30c-1-3p, the candidate markers of congestive heart failure with qi-deficiency-blood-stasis syndrome","X Li, G Wu, S Wang, P Huang, X Cao","2016",2,"… In our study, we found that miR-665 and miR-30c-1-3p were significantly increased in … Most 
importantly, we revealed that the common target of miR-665 and miR-30c-1-3p was zine pro…"
6,"miR-665","Circ_ARHGAP32 acts as miR-665 sponge to upregulate FGF2 to promote ox-LDL induced vascular smooth muscle cells proliferation and migration","Y Wang, W Pei, P Lu","2022",7,"… for circ_ARHGAP32 and discovered that miR-665 had binding sites with circ_ARHGAP32 
(… between circ_ARHGAP32 and miR-665. Our data suggested that miR-665 mimic only could …"
6,"miR-665","[HTML][HTML] Knockdown of Circ_0037658 alleviates IL-1β-induced osteoarthritis progression by serving as a sponge of miR-665 to regulate ADAMTS5","N Li, Y Wang, X Wu","2022",7,"… of circ_0037658 and miR-665 on IL-1β-… , miR-665 expression was significantly improved 
in miR-665 mimic-transfected cells (Figure 3B). Then, data presented only combined miR-665 …"
6,"miR-665","Inhibition of miR-665 alleviates neuropathic pain by targeting SOCS1","Y Lin, M Li, G Rao, W Zhang, X Chen","2020",NA,"… of miR665 on chronic neuropathic pain remains unclear. Therefore, the role of miR-665 in 
… with miR-665 antagomir or NC antagomir to knockdown miR-665. The decreased levels of …"
7,"miR-665","[HTML][HTML] Hsa_circ_0081065 exacerbates IH-induced EndMT via regulating miR-665/HIF-1α signal axis and HIF-1α nuclear translocation","S Jiang, X Xing, M Hong, X Zhang, F Xu, G Zhang","2024",NA,"… the relationship among hsa_circ_0081065, miR-665 and HIF-1α. A … acts as a sponge for miR-665 to up-regulate HIF-1α and … EndMT through the regulation of the miR-665/HIF-1α signal …"
7,"miR-665","Circ_SPG11 plays contributing effects on IL-1β-induced chondrocyte apoptosis and ECM degradation via miR-665 inhibition-mediated GREM1 upregulation","X Ouyang, Y Ding, L Yu, F Xin, X Yang, X Liu","2021",8,"… (D) The efficiency of miR-665 inhibition and miR-665 enrichment was ascertained by qPCR. 
(EF) The effect of miR-665 inhibition and miR-665 enrichment on GREM1 expression was …"
7,"miR-665","Inhibition of miR-665 alleviates lipopolysaccharide-induced inflammation via up-regulation of SOCS7 in chondrogenic ATDC5 cells","Q Ning, Y He, W Ma, F Tang, Y Huang, X Yao","2020",NA,"… Knockdown of miR-665 down-… miR-665. Data from qRT-PCR and western-blot analyses 
indicated that SOCS7 expression was promoted by miR-665 inhibition and inhibited by miR-665 …"
7,"miR-665","[HTML][HTML] Involvement of miR-665 in protection effect of dexmedetomidine against Oxidative Stress Injury in myocardial cells via CB2 and CK1","J Yu, W Yang, W Wang, Z Wang, Y Pu, H Chen","2019",31,"… cells transfected with miR-665 mimic, and down-regulation of miR-665 with miR-665 inhibitor 
… treatment of miR-665 mimic and inhibitor, which suggest that miR-665 regulates AK1 and …"
7,"miR-665","Circ_UBAP2 exacerbates proliferation and metastasis of OS via targeting miR‐665/miR‐370‐3p/HMGA1 axis","W Ma, Y Gao, X Yao, J Zhang, L Jia","2024",NA,"… miR-665 and miR-370-3p (Figure 4A, B). In order to further confirm whether circ_UBAP2 
can be directly bonded to miR-665 (… notably lowered after the transfection of miR-665 (miR-370-…"
7,"miR-665","rno‐miR‐665 targets BCL 2L1 (Bcl‐xl) and increases vulnerability to propofol in developing astrocytes","WC Sun, L Pei","2016",22,"… rno-miR-665 elevated BCL2L1 and attenuated CC3 levels, whereas up-regulation of rno-miR-665 … 
More importantly, rno-miR-665 antagomir infusion improved neurological outcomes of …"
8,"miR-665","[HTML][HTML] LncRNA LIMT (LINC01089) contributes to sorafenib chemoresistance via regulation of miR-665 and epithelial to mesenchymal transition in hepatocellular …","J Sun, X Zheng, B Wang, Y Cai, L Zheng","2022",13,"… To verify whether LIMT plays the role in sorafenib resistance via the regulation of miR-665 
and EMT, we transfected the miR-665 inhibitor into HCC cells along with the LIMT siRNAs, …"
8,"miR-665","Mir-665 Overexpression Inhibits the Apoptosis of Luteal Cells in Small Ruminants Suppressing Hpgds","L Li, D Zhang, Q Li, P Zhou","L Li, D Zhang, Q Li, P Zhou - papers.ssrn.com",NA,"… miR-665, and miR-665 expression was negatively correlated with HPGDS mRNA expression 
in luteal cells. Meanwhile, after miR-665 … Overall, all of these results indicate that miR-665 …"
