"page","term","title","authors","year","n_citations","abstract"
1,"miR-18a","The multifunctional RNA-binding protein hnRNP A1 is required for processing of miR-18a","S Guil, JF Cáceres","2007",707,"… activity with pri-miR-18a and also show reduced abundances of endogenous pre-miR-18a. 
Furthermore, we show that hnRNP A1 is required for miR-18a–mediated repression of a …"
1,"miR-18a","The miR-18a* microRNA functions as a potential tumor suppressor by targeting on K-Ras","WP Tsang, TT Kwok","2009",254,"… expression of miR-18a* by transfection with miR-18a* precursor … upon miR-18a* repression 
was, however, rendered by the Ras inhibitor farnesylthiosalicylic acid. In conclusion, miR-18a…"
2,"miR-18a","[HTML][HTML] Identification of miR-18a-5p as an oncogene and prognostic biomarker in RCC","L Zhou, Z Li, X Pan, Y Lai, J Quan, L Zhao","2018",46,"… However, the research of miR-18a-5p in RCC had not been reported yet. Therefore, the … 
detect the expression of miR-18a-5p in RCC tissues and cells and the effects of miR-18a-5p on …"
2,"miR-18a","miR-18a induces myotubes atrophy by down-regulating IgfI","C Liu, M Wang, M Chen, K Zhang, L Gu, Q Li","2017",42,"… An analysis of miR-18a targets reveals that Igf1 is regulated by miR-18a. miR-18a suppresses 
the expression of … An analysis of miR-18a targets reveals that Igf1 is regulated by miR-18a. …"
2,"miR-18a","[HTML][HTML] miR-18a-5p MicroRNA increases vascular smooth muscle cell differentiation by downregulating syndecan4","HJ Kee, GR Kim, SN Cho, JS Kwon, Y Ahn","2014",51,"… Considering the effect of VSMC differentiation by miR-18a-5p, we hypothesized that miR-18a-5p 
must downregulate anti-differentiation genes. Among several genes, we found that …"
3,"miR-18a","A distinct inhibitory function for miR-18a in Th17 cell differentiation","MM Montoya, J Maul, PB Singh, HH Pua","2017",53,"… and critical role for miR-18a in limiting Th17 cell differentiation. miR-18a was the most … 
In this study, we uncovered a unique role for miR-18a as a highly inducible inhibitor of Th17 …"
3,"miR-18a","Upregulation of miR-18a-5p contributes to epidermal necrolysis in severe drug eruptions","A Ichihara, Z Wang, M Jinnin, Y Izuno","2014",69,"… Our results indicated that downregulated BCL2L10 caused by miR-18a-5p overexpression 
mediates intrinsic keratinocyte apoptosis in patients with TEN. Serum miR-18a-5p levels can …"
3,"miR-18a","[HTML][HTML] miR-18a impairs DNA damage response through downregulation of ataxia telangiectasia mutated (ATM) kinase","L Song, C Lin, Z Wu, H Gong, Y Zeng, J Wu, M Li, J Li","2011",163,"… of miR-18a. Furthermore, we demonstrated that overexpression of miR-18a downregulated 
… Taken together, these results suggest that miR-18a plays an important role in the regulation …"
3,"miR-18a","Diagnostic and Prognostic Significance of serum miR-18a-5p in Patients with Atherosclerosis","PP Teng, Y Liu, M Zhang, W Ji","2021",8,"… miR-18a-5p in AS patients, and explored its clinical values. 110 AS patients and 68 healthy 
controls were collected clinically, and the expression pattern of miR-18a-… MiR-18a-5p was at …"
4,"miR-18a","Expression of miR‐18a and miR‐34c in circulating monocytes associated with vulnerability to type 2 diabetes mellitus and insulin resistance","SS Wang, YQ Li, YZ Liang, J Dong, Y He","2017",46,"… cells and that high expression of miR-18a was present in Fischer 344 … We predict that miR-18a 
and miR-34c may involve in a … between T2DM and expression of miR-18a and miR-34c in …"
4,"miR-18a","[HTML][HTML] miR-18a-5p inhibits sub-pleural pulmonary fibrosis by targeting TGF-β receptor II","Q Zhang, H Ye, F Xiang, LJ Song, LL Zhou, PC Cai","2017",65,"… found that miR-18a-5p was reduced in PMCs treated with bleomycin and that downregulation 
of miR-18a-5p contributed to EMT of PMCs. Furthermore, we determined that miR-18a-5p …"
4,"miR-18a","Triple-negative and luminal A breast tumors: differential expression of miR-18a-5p, miR-17-5p, and miR-20a-5p","CMC Calvano Filho, DC Calvano-Mendes","2014",91,"… For example, in our study, miR-18a-5p was overexpressed in tumors … However, previous 
studies reported that miR-18a was … as regulators of estrogen receptor alpha: miR-18a, miR-18b, …"
4,"miR-18a","[HTML][HTML] MiR-18a regulates myoblasts proliferation by targeting Fgf1","C Liu, M Chen, M Wang, W Pi, N Li, Q Meng","2018",11,"… miR-18a participates in modulating proliferation in cultured C2C12 myoblasts, primary myoblasts 
and RD cells. MiR-18a … of miR-18a in vivo, we determined the expression of miR-18a in …"
5,"miR-18a","Prognostic significance of serum miR-18a-5p in severe COVID-19 Egyptian patients","RAH Haroun, WH Osman, AM Eessa","2023",1,"… of hsa-mir-18a-5p decreased in … -mir-18a-5p expression level is a good sensitive and 
specific marker. By using bioinformatics tools, our results revealed that the decreased hsa-mir-18a-…"
5,"miR-18a","[HTML][HTML] miR-18a increases insulin sensitivity by inhibiting PTEN","Y Zhou, R Wu, H Su, K Li, C Chen, R Xie","2021",9,"… -L1 preadipocytes and C2C12 myoblasts with miR-18a mimics or inhibitors (‘anti-miR-18a’). 
The upregulation and inhibition of miR-18a expression in these cells was confirmed using …"
6,"miR-18a","lncRNA PFAL promotes lung fibrosis through CTGF by competitively binding miR‐18a","X Li, T Yu, H Shan, H Jiang, J Sun, X Zhao","2018",54,"… miR-18a, whereas silencing of PFAL had the opposite effect. Furthermore, we found that miR-18a … and miR-18a, we constructed a miR-18a sensor luciferase vector containing a perfect …"
6,"miR-18a","Stimulation of pri-miR-18a processing by hnRNP A1","G Michlewski, S Guil, JF Cáceres","2010",57,"… is required for the processing of miR-18a at the nuclear step of … the processing of pri-miR-18a 
by binding to its terminal loop … A1-binding to the pri-miR-18a with an unusual phylogenetic …"
6,"miR-18a","miR-18a inhibits BMP4 and HIF-1α normalizing brain arteriovenous malformations","NI Marín-Ramos, TZ Thein, KB Ghaghada","2020",22,"… by which miR-18a … miR-18a normalized the brain vasculature and restored the compromised 
functionality of the bone marrow, lungs, spleen, and livers. Hence, we propose that miR-18a …"
7,"miR-18a","[HTML][HTML] miR-18a contributes to preeclampsia by downregulating Smad2 (full length) and reducing TGF-β signaling","P Xu, Z Li, Y Wang, X Yu, X Shao, Y Li, C Peng","2020",18,"… technology, we examined pri-miR-18a and miR-18a expression levels in the control and 
sPE placentas. The levels of pri-miR-18a and miR-18a were significantly downregulated in the …"
7,"miR-18a","MiR-18a-5p contributes to enhanced proliferation and migration of PASMCs via targeting Notch2 in pulmonary arterial hypertension","R Miao, W Liu, C Qi, Y Song, Y Zhang, Y Fu, W Liu","2020",17,"… target of miR-18a-5p and was repressed by miR-18a-5p … proliferation and migration 
induced by miR-18a-5p mimics in … and was negatively correlated with miR-18a-5p expression. …"
7,"miR-18a","MiR-18a-5p inhibits endothelial–mesenchymal transition and cardiac fibrosis through the Notch2 pathway","H Geng, J Guan","2017",67,"… We report that miR-18a-5p is reduced in HG-treated HAVECs, and overexpression of miR-18a… 
which Notch2 was regulated by miR-18a-5p and determine the role of miR-18a-5p/Notch2 …"
8,"miR-18a","miR‐18a promotes Mycobacterial survival in macrophages via inhibiting autophagy by down‐regulation of ATM","Q Yuan, H Chen, Y Yang, Y Fu","2020",33,"… miR-18a in autophagy, we examined the impact of miR-18a on expression of autophagic 
protein LC3. Underexpression of miR-18a … , which suggests that miR-18a negatively regulates …"
8,"miR-18a","[HTML][HTML] The long noncoding RNA GAS5 negatively regulates the adipogenic differentiation of MSCs by modulating the miR-18a/CTGF axis as a ceRNA","M Li, Z Xie, P Wang, J Li, W Liu, S Tang, Z Liu","2018",73,"… ceRNA) to sponge miR-18a, which promotes adipogenic differentiation. Mutation of the 
binding sites for GAS5 in miR-18a abolished the effect of the interaction. The miR-18a mimic and …"
8,"miR-18a","Berberine blocks inflammasome activation and alleviates diabetic cardiomyopathy via the miR‑18a‑3p/Gsdmd pathway","L Yang, CF Cheng, ZF Li","2023",10,"… suggested to be exerted by the upregulation of miR-18a-3p expression. In addition, the … miR-18a-3p on Gsdmd in vivo and in vitro. Moreover, BBR promotes the activation of the miR-18a…"
8,"miR-18a","ACE2‐EPC‐EXs protect ageing ECs against hypoxia/reoxygenation‐induced injury through the miR‐18a/Nox2/ROS pathway","C Zhang, J Wang, X Ma, W Wang","2018",64,"… -EX co-culture increased the level of ACE2 and miR-18a in ECs … miR-18a can transfer its 
cargoes to ECs, we performed quantitative RT-PCR to detect the level of ACE2 and miR-18a in …"
9,"miR-18a","[HTML][HTML] Targeting miR-18a sensitizes chondrocytes to anticytokine therapy to prevent osteoarthritis progression","C Lian, T Tao, P Su, Z Liao, X Wang, Y Lei","2020",10,"… Moreover, we identified up-regulation of miR-18a in injured lesion of OA patients compared 
… of miR-18a and IL-1β in OA injured cartilage, further supporting that miR-18a might …"
