"page","term","title","authors","year","n_citations","abstract"
1,"miR-27b","Promising therapeutic role of miR-27b in tumor","L Ding, J Ni, F Yang, L Huang, H Deng, Y Wu","2017",62,"… MiR-27b is a familiarly dysregulated miRNA in human cancers, for … , miR-27b has recently 
emerged as a key suppressor or an oncogene in cancers. Here, we review the role of miR-27b …"
1,"miR-27b","Identification of miR-130a, miR-27b and miR-210 as serum biomarkers for atherosclerosis obliterans","T Li, H Cao, J Zhuang, J Wan, M Guan, B Yu, X Li","2011",252,"… , miR-27b and miR-210 expression was observed in the serum samples of ASO patients. 
Moreover, the expression of miR-130a and miR-27b … The correlation of miR-130a and miR-27b …"
1,"miR-27b","[HTML][HTML] Circulating miRNAs are associated with the systemic extent of atherosclerosis: novel observations for miR-27b and miR-146","T Pereira-da-Silva, P Napoleao, MC Costa, AF Gabriel","2021",21,"… out: lower expression levels of miR-27b and miR-146 were … ; lower expression levels of miR-27b and miR-146 were … the miR-27b and miR-146 expression levels; and both miR-27b and …"
1,"miR-27b","MiR-27b promotes muscle development by inhibiting MDFI expression","L Hou, J Xu, Y Jiao, H Li, Z Pan, J Duan, T Gu","2018",34,"… miR-27b, we co-overexpressed miR-27b and MDFIto verify whether MDFI attenuated the miR-27b … Through the Edu immunofluorescent staining, we found MDFI weakens the miR-27b …"
1,"miR-27b","[HTML][HTML] Therapeutic manipulation of angiogenesis with miR-27b","D Veliceasa, D Biyashev, G Qin, S Misener, AR Mackie","2015",71,"… We have shown previously that miR-27b promotes capillary sprouting and … of miR-27b can 
be beneficial in angiogenesis-dependent disease. Limited local application of miR-27b mimic …"
1,"miR-27b","Salivary mir-27b expression in oral lichen planus patients: a series of cases and a narrative review of literature","DD Stasio, L Mosca, A Lucchese","2019",20,"… this work is the down regulation of miR-27b in the saliva of all … that the down-regulation of miR-27b ex-vivo is associated with … miR-27b expression resulted to be approximately 2.0-fold …"
1,"miR-27b","Exploring the potential value of miR-148b-3p, miR-151b and miR-27b-3p as biomarkers in acute ischemic stroke","X Cheng, P Kan, Z Ma, Y Wang, W Song","2018",40,"… In the present study, serum levels of miR-148b-3p, miR-151b and miR-27b-3p were the 
first time to be examined in IS patients. We observed that serum levels of miR-151b and miR-27b-…"
2,"miR-27b","Circulating miR-130a, miR-27b, and miR-210 in patients with peripheral artery disease and their potential relationship with oxidative stress: a pilot study","SS Signorelli, GL Volsi, A Pitruzzella, V Fiore","2016",56,"… fact, we showed that miR-130a, miR-27b, and miR-210 significantly … reports showed that 
miR-130a, miR-27b, and miR-210 are … The proangiogenic properties of miR-130a, miR-27b, and …"
2,"miR-27b","microRNA miR-27b impairs human adipocyte differentiation and targets PPARγ","M Karbiener, C Fischer, S Nowitsch","2009",521,"… revealed PPARγ as a putative miR-27b target with conserved miR-27b binding site, and … miR-27b response element in the PPARγ 3′UTR. These results suggest that miR-27b functions …"
2,"miR-27b","[HTML][HTML] Cardiomyocyte overexpression of miR-27b induces cardiac hypertrophy and dysfunction in mice","J Wang, Y Song, Y Zhang, H Xiao, Q Sun, N Hou","2012",232,"… Furthermore, in vivo silencing of miR-27b using a specific antagomir in a pressure-overload-… miR-27b is involved in the regulation of cardiac hypertrophy, and validate miR-27b as an …"
2,"miR-27b","MiR-27b targets LIMK1 to inhibit growth and invasion of NSCLC cells","L Wan, L Zhang, K Fan, J Wang","2014",85,"… miR-27b was remarkably decreased in both NSCLC tissues and cell lines. Moreover, 
overexpression of miR-27b … In this study, we addressed miR-27b as a negative regulator of growth …"
2,"miR-27b","PPARγ is regulated by miR-27b-3p negatively and plays an important role in porcine oocyte maturation","C Song, J Yao, C Cao, X Liang, J Huang, Z Han","2016",36,"… Specifically, we examined the expression patterns of miR-27b-3p and PPARγ in GV and 
MII oocytes and confirmed that PPARγ is a target gene of miR-27b-3p. We also explored the …"
2,"miR-27b","[HTML][HTML] MiR-27b attenuates mitochondrial oxidative stress and inflammation in endothelial cells","N D'Onofrio, F Prattichizzo, E Martino, C Anastasio","2023",12,"… Here, we show that miR-27b is involved in the regulation of a broad range of functionally … 
Overall, results reveal for the first time that miR-27b could represent a possible target for …"
2,"miR-27b","miR-27b controls venous specification and tip cell fate","D Biyashev, D Veliceasa, J Topczewski","2012",131,"… -regulates miR-27b in the activated endothelial cells. We demonstrate that miR-27b is required 
… Blocking miR-27b in zebrafish embryo inhibited sprouting of the intersegmental vessels (…"
3,"miR-27b","[HTML][HTML] miR-27b suppresses endothelial cell proliferation and migration by targeting Smad7 in Kawasaki disease","X Rong, D Ge, D Shen, X Chen, X Wang","2018",41,"… The expression of miR-27b was examined by qRT-PCR and the miR-27b expression level … 
(B) miR-27b mimics were transfected into HUVECs and the miR-27b level was determined by …"
3,"miR-27b","[HTML][HTML] MiR-27b impairs adipocyte differentiation of human adipose tissue-derived mesenchymal stem cells by targeting LPL","X Hu, J Tang, X Hu, P Bao, J Pan, Z Chen","2018",37,"… targeting regulatory relationship between miR-27b and LPL. After overexpressing and 
silencing miR-27b, LPL was found to be reversely regulated by miR-27b according to qRT-PCR …"
3,"miR-27b","Circulating miR-27b as a biomarker of the development and progression of carotid artery stenosis","T Lu, X Li, C Long, W Ji, L Jiang","2021",8,"… Among 19 CIE patients, 14 cases were at high miR-27b expression and 5 were at low miR-27b expression. As shown in Kaplan-Meier curve, the patients with high miR-27b expression …"
3,"miR-27b","[PDF][PDF] Exosomal miR-27b-3p secreted by visceral adipocytes contributes to endothelial inflammation and atherogenesis","Y Tang, LJ Yang, H Liu, YJ Song, QQ Yang, Y Liu","2023",11,"… -3p and indirect effects of similar miRNA seed sites in the inhibition of PPARa, we used miR-27b-3p inhibitor to neutralize the effect of miR-27b-3p mimic and found that miR-27b-3p …"
